step,train_loss,train_accuracy,ce_loss,pairwise_loss,learning_rate,wall_clock_time_sec,val_loss,val_accuracy,val_nll,val_ece,val_brier,val_positive_logit_mean,val_hard_negative_logit_mean,val_margin_mean,val_positive_drive_mean,val_positive_resistance_mean,val_hard_negative_drive_mean,val_hard_negative_resistance_mean,val_sample_uncertainty_mean,val_ambiguity_mean,val_class_resistance_mean,val_resistance_noise_corr,val_resistance_occlusion_corr
1,1.6166657209396362,0.125,1.6166657209396362,0.009488502517342567,0.001,0.08413124084472656,,,,,,,,,,,,,,,,,
2,1.6053632497787476,0.15625,1.6053632497787476,0.009586288593709469,0.001,0.16663813591003418,,,,,,,,,,,,,,,,,
3,1.5582996606826782,0.40625,1.5582996606826782,0.009486335329711437,0.001,0.24788236618041992,,,,,,,,,,,,,,,,,
4,1.6336631774902344,0.0625,1.6336631774902344,0.009387032128870487,0.001,0.3292531967163086,,,,,,,,,,,,,,,,,
5,1.5812981128692627,0.28125,1.5812981128692627,0.009442959912121296,0.001,0.43061017990112305,,,,,,,,,,,,,,,,,
6,1.596428632736206,0.15625,1.596428632736206,0.00940700713545084,0.001,0.615922212600708,,,,,,,,,,,,,,,,,
7,1.5376379489898682,0.46875,1.5376379489898682,0.009320095181465149,0.001,0.698256254196167,,,,,,,,,,,,,,,,,
8,1.5815036296844482,0.1875,1.5815036296844482,0.009209712035953999,0.001,0.7794113159179688,,,,,,,,,,,,,,,,,
9,1.5914252996444702,0.25,1.5914252996444702,0.009173896163702011,0.001,0.862863302230835,,,,,,,,,,,,,,,,,
10,1.542232871055603,0.40625,1.542232871055603,0.009112758561968803,0.001,0.9558112621307373,1.6700102090835571,0.1953125,1.6700102090835571,0.1319548487663269,0.8275135159492493,0.10529257357120514,0.5770344734191895,-0.4717419743537903,0.46677708625793457,2.1279802322387695,2.3638083934783936,1.5036423206329346,0.6777366399765015,1.2408168315887451,0.20009244978427887,0.05036357417702675,-0.0437287911772728
11,1.5169860124588013,0.28125,1.5169860124588013,0.009021366015076637,0.001,1.2159171104431152,,,,,,,,,,,,,,,,,
12,1.516552209854126,0.375,1.516552209854126,0.008975714445114136,0.001,1.3008651733398438,,,,,,,,,,,,,,,,,
13,1.5160781145095825,0.375,1.5160781145095825,0.008931976743042469,0.001,1.3846173286437988,,,,,,,,,,,,,,,,,
14,1.452613353729248,0.40625,1.452613353729248,0.00884637888520956,0.001,1.4689652919769287,,,,,,,,,,,,,,,,,
15,1.5349754095077515,0.28125,1.5349754095077515,0.008932062424719334,0.001,1.5517160892486572,,,,,,,,,,,,,,,,,
16,1.511405348777771,0.3125,1.511405348777771,0.009075579233467579,0.001,1.6380112171173096,,,,,,,,,,,,,,,,,
17,1.3604336977005005,0.59375,1.3604336977005005,0.009331850335001945,0.001,1.7268643379211426,,,,,,,,,,,,,,,,,
18,1.4864675998687744,0.4375,1.4864675998687744,0.009716407395899296,0.001,1.8168962001800537,,,,,,,,,,,,,,,,,
19,1.458918571472168,0.375,1.458918571472168,0.010032680816948414,0.001,1.904832124710083,,,,,,,,,,,,,,,,,
20,1.3893989324569702,0.53125,1.3893989324569702,0.01038372702896595,0.001,1.990666389465332,1.74317467212677,0.1953125,1.74317467212677,0.22088631987571716,0.8672721982002258,0.17211687564849854,0.8919903039932251,-0.7198734283447266,0.5171582698822021,2.4214000701904297,3.1211600303649902,1.5132781267166138,0.5952100157737732,1.6159191131591797,0.20008781552314758,0.05714142322540283,-0.03260107338428497
21,1.379460096359253,0.40625,1.379460096359253,0.010828906670212746,0.001,2.2611193656921387,,,,,,,,,,,,,,,,,
22,1.4432183504104614,0.375,1.4432183504104614,0.011330422013998032,0.001,2.3490891456604004,,,,,,,,,,,,,,,,,
23,1.3451862335205078,0.59375,1.3451862335205078,0.011761000379920006,0.001,2.441005229949951,,,,,,,,,,,,,,,,,
24,1.37607741355896,0.46875,1.37607741355896,0.012144552543759346,0.001,2.5313642024993896,,,,,,,,,,,,,,,,,
25,1.1537938117980957,0.84375,1.1537938117980957,0.012528518214821815,0.001,2.6231091022491455,,,,,,,,,,,,,,,,,
26,1.2130167484283447,0.65625,1.2130167484283447,0.012949543073773384,0.001,2.71767520904541,,,,,,,,,,,,,,,,,
27,1.178808331489563,0.65625,1.178808331489563,0.0133450822904706,0.001,2.8109633922576904,,,,,,,,,,,,,,,,,
28,1.3256232738494873,0.53125,1.3256232738494873,0.01377627719193697,0.001,2.8987371921539307,,,,,,,,,,,,,,,,,
29,1.2186359167099,0.625,1.2186359167099,0.014090141281485558,0.001,2.9877560138702393,,,,,,,,,,,,,,,,,
30,1.1589174270629883,0.65625,1.1589174270629883,0.014401321299374104,0.001,3.0804672241210938,1.8480563163757324,0.1953125,1.8480563163757324,0.30342796444892883,0.9236160516738892,0.25594791769981384,1.2174973487854004,-0.9615495800971985,0.37038856744766235,2.322049617767334,4.026208400726318,1.3133130073547363,0.39233338832855225,1.7203264236450195,0.20002397894859314,0.0612674318253994,-0.029936475679278374
