step,train_loss,train_accuracy,ce_loss,pairwise_loss,learning_rate,wall_clock_time_sec,val_loss,val_accuracy,val_nll,val_ece,val_brier,val_positive_logit_mean,val_hard_negative_logit_mean,val_margin_mean,val_positive_drive_mean,val_positive_resistance_mean,val_hard_negative_drive_mean,val_hard_negative_resistance_mean,val_sample_uncertainty_mean,val_ambiguity_mean,val_class_resistance_mean,val_resistance_noise_corr,val_resistance_occlusion_corr
1,1.608959436416626,0.3125,1.608959436416626,0.0,0.001,0.09413909912109375,,,,,,,,,,,,,,,,,
2,1.610805630683899,0.125,1.610805630683899,0.0,0.001,0.1846449375152588,,,,,,,,,,,,,,,,,
3,1.6078295707702637,0.21875,1.6078295707702637,0.0,0.001,0.27278614044189453,,,,,,,,,,,,,,,,,
4,1.610748052597046,0.1875,1.610748052597046,0.0,0.001,0.36263203620910645,,,,,,,,,,,,,,,,,
5,1.6071056127548218,0.25,1.6071056127548218,0.0,0.001,0.45038294792175293,,,,,,,,,,,,,,,,,
6,1.6129511594772339,0.09375,1.6129511594772339,0.0,0.001,0.5368070602416992,,,,,,,,,,,,,,,,,
7,1.604285717010498,0.25,1.604285717010498,0.0,0.001,0.6253201961517334,,,,,,,,,,,,,,,,,
8,1.6094266176223755,0.1875,1.6094266176223755,0.0,0.001,0.7159950733184814,,,,,,,,,,,,,,,,,
9,1.6022757291793823,0.375,1.6022757291793823,0.0,0.001,0.8042540550231934,,,,,,,,,,,,,,,,,
10,1.6040884256362915,0.3125,1.6040884256362915,0.0,0.001,0.9004068374633789,1.6124489307403564,0.1953125,1.6124489307403564,0.014667794108390808,0.8011783361434937,-0.004410123452544212,0.0394563302397728,-0.04386645555496216,-0.0018507009372115135,0.6910299062728882,-0.005758670624345541,0.6905279159545898,nan,nan,nan,-0.0745440348982811,0.11886052787303925
11,1.6013919115066528,0.34375,1.6013919115066528,0.0,0.001,1.1336390972137451,,,,,,,,,,,,,,,,,
12,1.599092960357666,0.28125,1.599092960357666,0.0,0.001,1.2286410331726074,,,,,,,,,,,,,,,,,
13,1.5920778512954712,0.34375,1.5920778512954712,0.0,0.001,1.3348829746246338,,,,,,,,,,,,,,,,,
14,1.592107892036438,0.34375,1.592107892036438,0.0,0.001,1.4343459606170654,,,,,,,,,,,,,,,,,
15,1.6016803979873657,0.25,1.6016803979873657,0.0,0.001,1.5277140140533447,,,,,,,,,,,,,,,,,
16,1.5745341777801514,0.3125,1.5745341777801514,0.0,0.001,1.6395490169525146,,,,,,,,,,,,,,,,,
17,1.532716155052185,0.34375,1.532716155052185,0.0,0.001,1.7343552112579346,,,,,,,,,,,,,,,,,
18,1.5661638975143433,0.1875,1.5661638975143433,0.0,0.001,1.8298139572143555,,,,,,,,,,,,,,,,,
19,1.5510109663009644,0.34375,1.5510109663009644,0.0,0.001,1.915700912475586,,,,,,,,,,,,,,,,,
20,1.5235780477523804,0.34375,1.5235780477523804,0.0,0.001,1.9984099864959717,1.6851019859313965,0.1953125,1.6851019859313965,0.1162419319152832,0.8310103416442871,-0.05833917483687401,0.4175506830215454,-0.47588983178138733,-0.003884418634697795,0.6888524293899536,-0.01366126723587513,0.693808913230896,nan,nan,nan,-0.029133200645446777,0.12844139337539673
21,1.4673858880996704,0.3125,1.4673858880996704,0.0,0.001,2.2215771675109863,,,,,,,,,,,,,,,,,
22,1.547900676727295,0.25,1.547900676727295,0.0,0.001,2.307832956314087,,,,,,,,,,,,,,,,,
23,1.402118444442749,0.34375,1.402118444442749,0.0,0.001,2.393097162246704,,,,,,,,,,,,,,,,,
24,1.379395842552185,0.46875,1.379395842552185,0.0,0.001,2.4797370433807373,,,,,,,,,,,,,,,,,
25,1.3274426460266113,0.3125,1.3274426460266113,0.0,0.001,2.560899019241333,,,,,,,,,,,,,,,,,
26,1.4312129020690918,0.28125,1.4312129020690918,0.0,0.001,2.647674083709717,,,,,,,,,,,,,,,,,
27,1.254145622253418,0.375,1.254145622253418,0.0,0.001,2.733114004135132,,,,,,,,,,,,,,,,,
28,1.2622106075286865,0.28125,1.2622106075286865,0.0,0.001,2.8168139457702637,,,,,,,,,,,,,,,,,
29,1.2196199893951416,0.40625,1.2196199893951416,0.0,0.001,2.9016480445861816,,,,,,,,,,,,,,,,,
30,1.2536017894744873,0.5,1.2536017894744873,0.0,0.001,2.985473871231079,3.08406925201416,0.1953125,3.08406925201416,0.5679498314857483,1.237229347229004,-0.2722581624984741,2.2788867950439453,-2.551145076751709,-0.005924185272306204,0.6875938177108765,-0.05131928622722626,0.6907036304473877,nan,nan,nan,-0.022159649059176445,0.12669208645820618
