step,train_loss,train_accuracy,ce_loss,pairwise_loss,learning_rate,wall_clock_time_sec,val_loss,val_accuracy,val_nll,val_ece,val_brier,val_positive_logit_mean,val_hard_negative_logit_mean,val_margin_mean,val_positive_drive_mean,val_positive_resistance_mean,val_hard_negative_drive_mean,val_hard_negative_resistance_mean,val_sample_uncertainty_mean,val_ambiguity_mean,val_class_resistance_mean,val_resistance_noise_corr,val_resistance_occlusion_corr
1,1.6087000370025635,0.34375,1.6087000370025635,0.0,0.001,0.13590002059936523,,,,,,,,,,,,,,,,,
2,1.608614206314087,0.28125,1.608614206314087,0.0,0.001,0.2770991325378418,,,,,,,,,,,,,,,,,
3,1.6277539730072021,0.125,1.6277539730072021,0.0,0.001,0.40198516845703125,,,,,,,,,,,,,,,,,
4,1.6020270586013794,0.1875,1.6020270586013794,0.0,0.001,0.5244970321655273,,,,,,,,,,,,,,,,,
5,1.6239570379257202,0.09375,1.6239570379257202,0.0,0.001,0.6568939685821533,,,,,,,,,,,,,,,,,
6,1.6000592708587646,0.21875,1.6000592708587646,0.0,0.001,0.8027710914611816,,,,,,,,,,,,,,,,,
7,1.6128273010253906,0.21875,1.6128273010253906,0.0,0.001,0.9388790130615234,,,,,,,,,,,,,,,,,
8,1.5897635221481323,0.3125,1.5897635221481323,0.0,0.001,1.0641028881072998,,,,,,,,,,,,,,,,,
9,1.573906660079956,0.34375,1.573906660079956,0.0,0.001,1.2042691707611084,,,,,,,,,,,,,,,,,
10,1.5888162851333618,0.21875,1.5888162851333618,0.0,0.001,1.3581020832061768,1.6235357522964478,0.1953125,1.6235357522964478,0.043674200773239136,0.8057879209518433,0.021411867812275887,0.20181886851787567,-0.18040700256824493,nan,nan,nan,nan,nan,nan,nan,nan,nan
11,1.5858128070831299,0.3125,1.5858128070831299,0.0,0.001,1.6715490818023682,,,,,,,,,,,,,,,,,
12,1.5689952373504639,0.25,1.5689952373504639,0.0,0.001,1.7843890190124512,,,,,,,,,,,,,,,,,
13,1.5451502799987793,0.40625,1.5451502799987793,0.0,0.001,1.898859977722168,,,,,,,,,,,,,,,,,
14,1.5324561595916748,0.375,1.5324561595916748,0.0,0.001,2.0117950439453125,,,,,,,,,,,,,,,,,
15,1.567091941833496,0.3125,1.567091941833496,0.0,0.001,2.1550521850585938,,,,,,,,,,,,,,,,,
16,1.5821633338928223,0.28125,1.5821633338928223,0.0,0.001,2.277500867843628,,,,,,,,,,,,,,,,,
17,1.4945592880249023,0.46875,1.4945592880249023,0.0,0.001,2.3948960304260254,,,,,,,,,,,,,,,,,
18,1.4958782196044922,0.21875,1.4958782196044922,0.0,0.001,2.4995431900024414,,,,,,,,,,,,,,,,,
19,1.3463795185089111,0.53125,1.3463795185089111,0.0,0.001,2.589128017425537,,,,,,,,,,,,,,,,,
20,1.553863286972046,0.375,1.553863286972046,0.0,0.001,2.686028003692627,1.7457143068313599,0.1953125,1.7457143068313599,0.16492223739624023,0.8572019338607788,0.014265898615121841,0.6847559213638306,-0.670490026473999,nan,nan,nan,nan,nan,nan,nan,nan,nan
21,1.5053136348724365,0.3125,1.5053136348724365,0.0,0.001,2.9550909996032715,,,,,,,,,,,,,,,,,
22,1.521773099899292,0.3125,1.521773099899292,0.0,0.001,3.143503189086914,,,,,,,,,,,,,,,,,
23,1.4008746147155762,0.40625,1.4008746147155762,0.0,0.001,3.289175033569336,,,,,,,,,,,,,,,,,
24,1.4256166219711304,0.25,1.4256166219711304,0.0,0.001,3.4006810188293457,,,,,,,,,,,,,,,,,
25,1.5935440063476562,0.09375,1.5935440063476562,0.0,0.001,3.5107460021972656,,,,,,,,,,,,,,,,,
26,1.4665861129760742,0.3125,1.4665861129760742,0.0,0.001,3.6130261421203613,,,,,,,,,,,,,,,,,
27,1.4062131643295288,0.375,1.4062131643295288,0.0,0.001,3.716792106628418,,,,,,,,,,,,,,,,,
28,1.277988076210022,0.4375,1.277988076210022,0.0,0.001,3.8757288455963135,,,,,,,,,,,,,,,,,
29,1.4920973777770996,0.4375,1.4920973777770996,0.0,0.001,4.023690938949585,,,,,,,,,,,,,,,,,
30,1.3861446380615234,0.40625,1.3861446380615234,0.0,0.001,4.159678936004639,1.9605501890182495,0.1953125,1.9605501890182495,0.28626328706741333,0.942268967628479,0.004436753690242767,1.1326162815093994,-1.1281794309616089,nan,nan,nan,nan,nan,nan,nan,nan,nan
