step,train_loss,train_accuracy,ce_loss,pairwise_loss,learning_rate,wall_clock_time_sec,val_loss,val_accuracy,val_nll,val_ece,val_brier,val_positive_logit_mean,val_hard_negative_logit_mean,val_margin_mean,val_positive_drive_mean,val_positive_resistance_mean,val_hard_negative_drive_mean,val_hard_negative_resistance_mean,val_sample_uncertainty_mean,val_ambiguity_mean,val_class_resistance_mean,val_resistance_noise_corr,val_resistance_occlusion_corr
1,1.606143832206726,0.28125,1.606143832206726,0.025286471471190453,0.001,0.04452919960021973,,,,,,,,,,,,,,,,,
2,1.6046069860458374,0.21875,1.6046069860458374,0.025178994983434677,0.001,0.08654522895812988,,,,,,,,,,,,,,,,,
3,1.6042810678482056,0.21875,1.6042810678482056,0.025073518976569176,0.001,0.12825417518615723,,,,,,,,,,,,,,,,,
4,1.598847508430481,0.25,1.598847508430481,0.02513059973716736,0.001,0.17035913467407227,,,,,,,,,,,,,,,,,
5,1.60783851146698,0.21875,1.60783851146698,0.024973511695861816,0.001,0.21243000030517578,,,,,,,,,,,,,,,,,
6,1.626555323600769,0.1875,1.626555323600769,0.02467821165919304,0.001,0.25504517555236816,,,,,,,,,,,,,,,,,
7,1.595819354057312,0.1875,1.595819354057312,0.02425941824913025,0.001,0.29588913917541504,,,,,,,,,,,,,,,,,
8,1.5601425170898438,0.3125,1.5601425170898438,0.023745203390717506,0.001,0.3380091190338135,,,,,,,,,,,,,,,,,
9,1.5537638664245605,0.34375,1.5537638664245605,0.02308466099202633,0.001,0.3804621696472168,,,,,,,,,,,,,,,,,
10,1.5587965250015259,0.3125,1.5587965250015259,0.022343304008245468,0.001,0.42302632331848145,1.6199826002120972,0.1953125,1.6199826002120972,0.03931903839111328,0.804211437702179,0.007188822142779827,0.1606607735157013,-0.1534719467163086,0.054051656275987625,1.2773334980010986,1.1148298978805542,1.0342259407043457,0.6836597919464111,0.38658636808395386,0.1999606043100357,0.0376649834215641,-0.07921557873487473
11,1.5690431594848633,0.34375,1.5690431594848633,0.021496662870049477,0.001,0.5341312885284424,,,,,,,,,,,,,,,,,
12,1.514142394065857,0.46875,1.514142394065857,0.020704716444015503,0.001,0.5772531032562256,,,,,,,,,,,,,,,,,
13,1.5731691122055054,0.21875,1.5731691122055054,0.019871434196829796,0.001,0.6203970909118652,,,,,,,,,,,,,,,,,
14,1.5480966567993164,0.28125,1.5480966567993164,0.019022773951292038,0.001,0.6626732349395752,,,,,,,,,,,,,,,,,
15,1.5417331457138062,0.3125,1.5417331457138062,0.018189894035458565,0.001,0.7053160667419434,,,,,,,,,,,,,,,,,
16,1.5381520986557007,0.28125,1.5381520986557007,0.01747550256550312,0.001,0.7514119148254395,,,,,,,,,,,,,,,,,
17,1.495553970336914,0.375,1.495553970336914,0.016756299883127213,0.001,0.7938270568847656,,,,,,,,,,,,,,,,,
18,1.4339226484298706,0.5,1.4339226484298706,0.016045788303017616,0.001,0.8365743160247803,,,,,,,,,,,,,,,,,
19,1.5107612609863281,0.375,1.5107612609863281,0.015345485880970955,0.001,0.8784101009368896,,,,,,,,,,,,,,,,,
20,1.432460069656372,0.59375,1.432460069656372,0.014764375984668732,0.001,0.9212002754211426,1.6733356714248657,0.1953125,1.6733356714248657,0.14240959286689758,0.8296787142753601,0.11558690667152405,0.612136960029602,-0.496550053358078,0.3561285734176636,1.8843613862991333,2.405229330062866,1.2992606163024902,0.6194549798965454,1.0580494403839111,0.19996868073940277,0.05237654224038124,-0.04855745658278465
21,1.4372907876968384,0.53125,1.4372907876968384,0.014258399605751038,0.001,1.0315971374511719,,,,,,,,,,,,,,,,,
22,1.4839116334915161,0.34375,1.4839116334915161,0.013717785477638245,0.001,1.073652982711792,,,,,,,,,,,,,,,,,
23,1.50575590133667,0.40625,1.50575590133667,0.013161806389689445,0.001,1.117098093032837,,,,,,,,,,,,,,,,,
24,1.3876070976257324,0.46875,1.3876070976257324,0.012745535001158714,0.001,1.1605942249298096,,,,,,,,,,,,,,,,,
25,1.427925705909729,0.53125,1.427925705909729,0.012322243303060532,0.001,1.2046420574188232,,,,,,,,,,,,,,,,,
26,1.3719993829727173,0.625,1.3719993829727173,0.011976400390267372,0.001,1.248405933380127,,,,,,,,,,,,,,,,,
27,1.2573519945144653,0.65625,1.2573519945144653,0.011689645238220692,0.001,1.2917859554290771,,,,,,,,,,,,,,,,,
28,1.3408534526824951,0.4375,1.3408534526824951,0.011458706110715866,0.001,1.334381103515625,,,,,,,,,,,,,,,,,
29,1.2179893255233765,0.6875,1.2179893255233765,0.01126890815794468,0.001,1.3776519298553467,,,,,,,,,,,,,,,,,
30,1.2456510066986084,0.5,1.2456510066986084,0.011121404357254505,0.001,1.4216101169586182,1.7309138774871826,0.1953125,1.7309138774871826,0.20510485768318176,0.8587540984153748,0.19691160321235657,0.8929456472396851,-0.6960340142250061,0.32187891006469727,1.9290980100631714,3.0720412731170654,1.300619125366211,0.5099051594734192,1.2145497798919678,0.19993866980075836,0.042668089270591736,-0.04389992356300354
