step,train_loss,train_accuracy,pairwise_loss,learning_rate,wall_clock_time_sec,val_loss,val_accuracy,val_nll,val_ece,val_brier,val_positive_logit_mean,val_hard_negative_logit_mean,val_margin_mean,val_positive_drive_mean,val_positive_resistance_mean,val_hard_negative_drive_mean,val_hard_negative_resistance_mean,val_sample_uncertainty_mean,val_ambiguity_mean,val_class_resistance_mean,val_resistance_noise_corr,val_resistance_occlusion_corr
1,1.616251826286316,0.09375,0.0,0.001,0.0006821155548095703,,,,,,,,,,,,,,,,,
2,1.6117753982543945,0.21875,0.0,0.001,0.0014410018920898438,,,,,,,,,,,,,,,,,
3,1.6067076921463013,0.28125,0.0,0.001,0.0022249221801757812,,,,,,,,,,,,,,,,,
4,1.605581283569336,0.21875,0.0,0.001,0.0031630992889404297,,,,,,,,,,,,,,,,,
5,1.6082067489624023,0.21875,0.0,0.001,0.00409698486328125,,,,,,,,,,,,,,,,,
6,1.5992841720581055,0.21875,0.0,0.001,0.004762172698974609,,,,,,,,,,,,,,,,,
7,1.6055352687835693,0.25,0.0,0.001,0.00605320930480957,,,,,,,,,,,,,,,,,
8,1.6161926984786987,0.1875,0.0,0.001,0.00812220573425293,,,,,,,,,,,,,,,,,
9,1.6188613176345825,0.25,0.0,0.001,0.008754968643188477,,,,,,,,,,,,,,,,,
10,1.6306897401809692,0.1875,0.0,0.001,0.009424209594726562,1.6235231161117554,0.1796875,1.6235231161117554,0.0509871244430542,0.8055411577224731,0.008558675646781921,0.15165655314922333,-0.1430978775024414,nan,nan,nan,nan,nan,nan,nan,nan,nan
11,1.593957781791687,0.25,0.0,0.001,0.010605096817016602,,,,,,,,,,,,,,,,,
12,1.6262993812561035,0.15625,0.0,0.001,0.011317014694213867,,,,,,,,,,,,,,,,,
13,1.6058448553085327,0.1875,0.0,0.001,0.012037277221679688,,,,,,,,,,,,,,,,,
14,1.6199426651000977,0.125,0.0,0.001,0.012716054916381836,,,,,,,,,,,,,,,,,
15,1.5899341106414795,0.28125,0.0,0.001,0.013433218002319336,,,,,,,,,,,,,,,,,
16,1.616585373878479,0.25,0.0,0.001,0.014191150665283203,,,,,,,,,,,,,,,,,
17,1.6097683906555176,0.15625,0.0,0.001,0.014952898025512695,,,,,,,,,,,,,,,,,
18,1.6207647323608398,0.125,0.0,0.001,0.015700101852416992,,,,,,,,,,,,,,,,,
19,1.5889700651168823,0.375,0.0,0.001,0.016479015350341797,,,,,,,,,,,,,,,,,
20,1.6156271696090698,0.1875,0.0,0.001,0.017240047454833984,1.6191478967666626,0.1796875,1.6191478967666626,0.03459632396697998,0.8036985397338867,0.004119628109037876,0.08098955452442169,-0.0768699198961258,nan,nan,nan,nan,nan,nan,nan,nan,nan
21,1.6020594835281372,0.25,0.0,0.001,0.018684864044189453,,,,,,,,,,,,,,,,,
22,1.6006864309310913,0.1875,0.0,0.001,0.019598007202148438,,,,,,,,,,,,,,,,,
23,1.6130123138427734,0.15625,0.0,0.001,0.020454883575439453,,,,,,,,,,,,,,,,,
24,1.5903974771499634,0.3125,0.0,0.001,0.02152085304260254,,,,,,,,,,,,,,,,,
25,1.5919628143310547,0.25,0.0,0.001,0.02236795425415039,,,,,,,,,,,,,,,,,
26,1.6061607599258423,0.1875,0.0,0.001,0.023226261138916016,,,,,,,,,,,,,,,,,
27,1.584908127784729,0.34375,0.0,0.001,0.024051904678344727,,,,,,,,,,,,,,,,,
28,1.6211299896240234,0.1875,0.0,0.001,0.024914026260375977,,,,,,,,,,,,,,,,,
29,1.6155534982681274,0.3125,0.0,0.001,0.025758981704711914,,,,,,,,,,,,,,,,,
30,1.6064386367797852,0.1875,0.0,0.001,0.026650190353393555,1.6242802143096924,0.1953125,1.6242802143096924,0.03455841541290283,0.8055250644683838,0.0022399285808205605,0.13774673640727997,-0.13550680875778198,nan,nan,nan,nan,nan,nan,nan,nan,nan
